Position,Exchange Name,Type,Trust Score,24h volume in $ (normalized),24h volume in $,Website visits,# Coins,# Pairs
1,Binance,Centralized,10,3.545.289.689,3.545.289.689,32.410.000,248,852
2,Coinbase-Pro,Centralized,10,575.943.796,575.943.796,5.426.000,38,99
3,Kraken,Centralized,10,375.553.916,375.553.916,3.352.000,46,214
4,Gate.io,Centralized,10,111.425.835,111.425.835,1.232.000,323,599
5,Binance-US,Centralized,10,32.304.577,32.304.577,531.554,52,105
6,Huobi-Global,Centralized,9,1.156.394.443,2.274.566.859,4.325.992,286,767
7,P2PB2B,Centralized,9,286.173.838,286.173.838,2.139.000,179,366
8,Bitstamp,Centralized,9,256.483.400,256.483.400,1.677.000,10,42
9,Bitfinex,Centralized,9,219.281.639,219.281.639,2.057.000,161,315
10,KuCoin,Centralized,9,111.726.640,111.726.640,2.450.000,233,488
11,BitMart,Centralized,9,57.398.544,96.804.955,214.724,103,170
12,Poloniex,Centralized,9,56.001.537,56.001.537,1.705.000,157,273
13,Bittrex,Centralized,9,46.660.736,46.660.736,675.663,319,567
14,Bitkub,Centralized,9,13.239.716,13.239.716,1.504.000,33,37
15,Max-Maicoin,Centralized,9,8.653.473,8.653.473,174.587,9,18
16,BitoPro,Centralized,9,7.164.498,7.164.498,137.995,14,24
17,OKEx-Korea,Centralized,9,940.244,940.244,9.561,55,92
18,eToroX,Centralized,8,663.707.876,663.707.876,20.751.462,16,18
19,BKEX,Centralized,8,573.004.718,573.004.718,2.158.000,249,407
20,MXC,Centralized,8,352.617.021,371.582.393,1.319.116,311,616
21,Bithumb,Centralized,8,292.410.795,292.410.795,3.854.000,116,117
22,HitBTC,Centralized,8,277.738.337,954.984.005,1.039.000,398,917
23,WhiteBIT,Centralized,8,268.848.857,268.848.857,2.810.000,97,208
24,BigONE,Centralized,8,252.520.047,252.520.047,2.346.000,113,195
25,Coinsbit,Centralized,8,236.691.958,236.691.958,5.189.000,61,155
26,Liquid,Centralized,8,169.989.228,302.319.074,635.918,72,166
27,BitMax,Centralized,8,149.774.050,149.774.050,1.572.193,143,198
28,bitFlyer,Centralized,8,147.836.382,147.836.382,1.001.000,3,6
29,FTX,Centralized,8,133.800.023,133.800.023,854.251,139,221
30,AEX,Centralized,8,84.316.441,142.343.960,315.422,199,231
31,Bithumb-Global,Centralized,8,83.952.294,83.952.294,455.288,194,281
32,Bilaxy,Centralized,8,82.376.817,139.031.206,308.166,344,383
33,LATOKEN,Centralized,8,77.159.900,77.159.900,395.764,232,501
34,BtcTurk-PRO,Centralized,8,75.605.312,75.605.312,429.579,13,36
35,Gemini,Centralized,8,63.434.839,63.434.839,259.481,26,41
36,Bitrue,Centralized,8,61.177.817,260.549.511,228.862,92,204
37,Crypto.com,Centralized,8,43.163.603,43.163.603,4.483.000,34,83
38,AAX,Centralized,8,43.135.245,43.135.245,588.067,29,51
39,Oceanex,Centralized,8,42.577.635,73.374.994,159.280,45,86
40,Zaif,Centralized,8,24.037.893,24.037.893,2.081.000,9,23
41,EXMO,Centralized,8,21.865.439,21.865.439,1.666.285,52,196
42,Luno,Centralized,8,20.759.988,20.759.988,1.311.000,5,27
43,Atomars,Centralized,8,15.997.746,15.997.746,156.246,139,329
44,Nominex,Centralized,8,14.104.724,14.104.724,498.910,20,61
45,Bitso,Centralized,8,13.488.176,13.488.176,1.256.000,10,24
46,Indodax,Centralized,8,9.618.232,9.618.232,3.223.000,100,103
47,CEX.IO,Centralized,8,8.198.318,8.198.318,686.064,42,133
48,B2BX,Centralized,8,8.076.534,8.076.534,39.733,12,22
49,BTCMarkets,Centralized,8,5.535.119,5.535.119,674.979,14,18
50,Coinlist,Centralized,8,3.924.203,3.924.203,419.975,7,11
51,TokensNet,Centralized,8,1.479.687,1.479.687,26.554,26,44
52,NiceHash,Centralized,8,114.519,114.519,7.912.000,46,56
53,OKEx,Centralized,N/A,1.013.103.134,1.013.103.134,6.729.000,208,487
54,Hotbit,Centralized,7,207.255.008,207.255.008,1.482.000,751,1463
55,Bitforex,Centralized,7,138.962.556,138.962.556,621.050,144,233
56,CoinTiger,Centralized,7,117.801.668,117.801.668,1.134.999,107,151
57,Coinone,Centralized,7,95.327.216,95.327.216,1.342.000,122,130
58,Coincheck,Centralized,7,91.683.916,91.683.916,1.166.000,1,1
59,Bitbank,Centralized,7,51.271.691,51.271.691,475.961,7,13
60,Decoin,Centralized,7,40.169.527,40.169.527,353.614,22,36
61,Paribu,Centralized,7,31.241.685,31.241.685,1.240.000,22,22
62,Sushiswap,Decentralized,7,25.700.956,25.700.956,508.810,74,86
63,Emirex,Centralized,7,16.766.996,16.766.996,67.474,40,87
64,GMO-Japan,Centralized,7,12.828.042,12.828.042,1.431.000,5,5
65,OKCoin,Centralized,7,11.073.179,28.979.662,41.424,19,27
66,BTSE,Centralized,7,5.345.995,13.940.673,19.999,16,16
67,CoinJar-Exchange,Centralized,7,4.136.449,4.136.449,22.511,10,26
68,Bitpanda-Pro,Centralized,7,3.352.235,3.352.235,115.147,7,12
69,Independent-Reserve,Centralized,7,3.112.636,3.112.636,148.463,20,63
70,Coinfloor,Centralized,7,2.301.386,2.301.386,29.588,1,2
71,TheRockTrading,Centralized,7,1.242.652,1.242.652,62.833,9,16
72,AlterDice,Centralized,7,950.341,950.341,11.137,40,99
73,Dex-Trade,Centralized,7,540.507,552.907,2.022,38,90
74,Ovex,Centralized,7,478.223,488.144,1.789,1,1
75,CoinDCX,Centralized,7,304.734,304.734,319.351,17,17
76,Namebase,Centralized,7,"29.977,62","29.977,62",45.697,1,1
77,ZB,Centralized,6,820.188.939,820.188.939,4.530.794,96,185
78,Uniswap-(v2),Decentralized,6,609.554.153,609.554.153,4.844.000,1235,2890
79,ZBG,Centralized,6,583.230.058,583.230.058,2.204.000,56,93
80,BiKi,Centralized,6,324.869.384,428.232.319,1.215.314,179,311
81,Upbit,Centralized,6,271.853.781,271.853.781,3.745.000,178,288
82,Digifinex,Centralized,6,252.315.523,739.916.625,943.895,197,354
83,Hoo.com,Centralized,6,94.923.158,696.264.813,355.101,267,419
84,ProBit,Centralized,6,91.654.581,91.654.581,2.052.000,406,803
85,BW.com,Centralized,6,85.238.912,85.238.912,2.453.000,97,150
86,Bitget,Centralized,6,58.242.451,414.978.061,217.881,9,11
87,Phemex,Centralized,6,35.154.746,35.154.746,282.834,11,12
88,Vebitcoin,Centralized,6,13.787.445,13.787.445,95.885,22,22
89,Coindeal,Centralized,6,13.638.476,13.638.476,78.576,39,49
90,GoPax,Centralized,6,13.478.627,13.478.627,376.456,64,79
91,BitBNS,Centralized,6,12.375.748,12.375.748,266.399,84,108
92,Balancer,Decentralized,6,9.989.192,9.989.192,432.745,151,219
93,DODO,Decentralized,6,8.347.045,8.347.045,114.579,8,8
94,Korbit,Centralized,6,6.829.920,6.829.920,97.404,5,5
95,WazirX,Centralized,6,5.193.540,5.193.540,581.658,117,168
96,Tidex,Centralized,6,4.766.193,7.336.808,17.830,17,24
97,dYdX,Decentralized,6,4.230.996,4.230.996,48.594,2,3
98,C2CX,Centralized,6,4.071.981,8.115.496,15.233,21,49
99,Mercado-Bitcoin,Centralized,6,3.775.092,3.775.092,1.143.000,3,3
100,GokuMarket,Centralized,6,2.502.853,2.515.527,9.363,29,63
101,GokuMarket,Centralized,6,2.502.853,2.515.527,9.363,29,63
102,BuyUcoin,Centralized,6,2.322.425,2.322.425,21.626,24,33
103,Mooniswap,Decentralized,6,2.038.170,2.038.170,123.076,81,85
104,Nash,Decentralized,6,1.375.886,1.375.886,34.033,10,13
105,Kuna-Exchange,Centralized,6,477.457,477.457,291.971,12,15
106,Narkasa,Centralized,6,336.223,336.223,7.682,5,8
107,Deversifi,Decentralized,6,214.525,214.525,14.128,7,11
108,Switcheo,Decentralized,6,"82.339,69","82.339,69",109.161,29,40
109,Float-SV,Centralized,6,"76.232,59","76.232,59",18.175,19,24
110,Bitubu-Exchange,Centralized,6,"0,00",115.164.186,0,30,107
111,VB,Centralized,5,267.313.126,443.498.182,1.000.000,10,11
112,LBank,Centralized,5,262.123.768,262.123.768,3.293.000,138,281
113,Dcoin,Centralized,5,214.548.722,218.558.235,802.612,77,135
114,Coineal,Centralized,5,166.301.109,1.231.536.030,622.121,34,63
115,BTC-Alpha,Centralized,5,83.534.550,137.703.209,312.497,62,89
116,Bitcoin.com-Exchange,Centralized,5,72.483.558,859.168.556,271.156,55,142
117,Bibox,Centralized,5,47.836.486,907.205.562,178.953,155,281
118,STEX,Centralized,5,28.445.087,28.445.087,242.725,277,398
119,Livecoin,Centralized,5,27.118.663,27.118.663,446.988,290,675
120,Exrates,Centralized,5,11.185.183,47.007.964,41.843,86,191
121,Tokenize,Centralized,5,11.042.511,11.042.511,338.701,16,50
122,BTCBOX,Centralized,5,9.951.942,9.951.942,44.820,4,4
123,VCC-Exchange,Centralized,5,7.494.123,1.305.674.430,28.035,117,247
124,Coinfield,Centralized,5,6.877.699,54.681.465,25.729,20,75
125,Serum-DEX,Decentralized,5,4.415.788,4.415.788,254.463,21,55
126,TOKOK,Centralized,5,3.972.273,408.088.063,14.860,84,133
127,DragonEx,Centralized,5,3.868.021,465.430.787,14.470,116,152
128,CREX24,Centralized,5,3.222.065,3.222.065,1.864.000,564,850
129,NovaDAX,Centralized,5,3.123.068,3.123.068,244.005,26,83
130,Bitexlive,Centralized,5,2.665.646,9.279.488,9.972,20,34
131,Paro-Exchange,Centralized,5,2.483.579,2.483.579,19.178,6,15
132,Bitoffer,Centralized,5,1.962.346,2.076.002.667,7.341,7,20
133,Resfinex,Centralized,5,1.557.634,14.068.185,5.827,52,73
134,LakeBTC,Centralized,5,1.333.091,18.114.669,4.987,1,8
