Position,Exchange Name,Type,Trust Score,24h volume (normalized),24h volume,Website visits,# Coins,# Pairs
1,Binance,Centralized,10,"$6,166,713,170","$6,166,713,170","28,230,000",258,876
2,Coinbase-Pro,Centralized,10,"$1,045,673,827","$1,045,673,827","4,855,000",38,99
3,Kraken,Centralized,10,"$578,991,185","$578,991,185","3,060,000",46,214
4,Bitfinex,Centralized,10,"$377,979,083","$377,979,083","1,750,000",164,317
5,Crypto.com,Centralized,10,"$67,152,032","$67,152,032","4,446,000",36,87
6,Gemini,Centralized,10,"$59,643,493","$59,643,493","499,700",26,41
7,Binance-US,Centralized,10,"$38,551,796","$38,551,796","338,819",52,105
8,Huobi-Global,Centralized,9,"$2,635,547,651","$2,635,547,651","3,472,271",290,784
9,Bitstamp,Centralized,9,"$396,586,032","$396,586,032","1,583,000",10,42
10,Gate.io,Centralized,9,"$167,426,470","$167,426,470","1,362,000",329,658
11,BitMart,Centralized,9,"$132,086,647","$132,086,647","118,440",103,167
12,Bithumb-Global,Centralized,9,"$75,870,536","$75,870,536","246,023",203,293
13,Poloniex,Centralized,9,"$75,821,189","$75,821,189","1,293,000",158,276
14,Digifinex,Centralized,8,"$903,111,522","$903,111,522","1,238,000",204,356
15,Bithumb,Centralized,8,"$873,593,422","$873,593,422","4,286,000",119,121
16,eToroX,Centralized,8,"$432,936,726","$432,936,726","20,873,385",19,25
17,Coinsbit,Centralized,8,"$401,351,427","$401,351,427","7,371,000",63,160
18,bitFlyer,Centralized,8,"$228,781,642","$228,781,642","1,131,000",3,6
19,Bitrue,Centralized,8,"$227,223,967","$419,997,900","157,750",92,205
20,Hotbit,Centralized,8,"$224,219,269","$224,219,269","826,487",788,1546
21,BitMax,Centralized,8,"$189,915,400","$189,915,400","1,175,642",151,202
22,FTX,Centralized,8,"$157,966,090","$157,966,090","854,251",160,264
23,AEX,Centralized,8,"$152,024,479","$152,024,479","195,462",213,250
24,KuCoin,Centralized,8,"$111,353,284","$111,353,284","1,374,000",243,501
25,Oceanex,Centralized,8,"$73,654,795","$73,654,795","95,556",44,85
26,Bittrex,Centralized,8,"$70,248,323","$70,248,323","496,412",337,616
27,Indodax,Centralized,8,"$18,871,702","$18,871,702","3,170,000",105,108
28,Bitkub,Centralized,8,"$17,456,658","$17,456,658","1,253,000",34,38
29,Bitso,Centralized,8,"$15,547,881","$15,547,881","1,254,000",10,24
30,Max-Maicoin,Centralized,8,"$8,725,719","$8,725,719","150,337",9,18
31,BitoPro,Centralized,8,"$8,532,970","$8,532,970","136,719",14,25
32,Kuna-Exchange,Centralized,8,"$771,042","$771,042","244,989",12,15
33,NiceHash,Centralized,8,"$408,167","$408,167","7,483,000",47,57
34,HitBTC,Centralized,7,"$1,030,267,379","$1,030,267,379","969,060",412,941
35,Bibox,Centralized,7,"$875,270,738","$875,270,738","636,415",147,274
36,MXC,Centralized,7,"$687,721,182","$687,721,182","971,921",315,637
37,BKEX,Centralized,7,"$592,026,170","$592,026,170","1,925,000",236,396
38,P2PB2B,Centralized,7,"$391,498,078","$391,498,078","2,250,000",189,371
39,Hoo.com,Centralized,7,"$363,803,888","$363,803,888","316,709",285,454
40,Liquid,Centralized,7,"$275,657,694","$275,657,694","561,584",75,165
41,WhiteBIT,Centralized,7,"$259,219,864","$259,219,864","3,147,000",87,193
42,Bilaxy,Centralized,7,"$193,863,515","$193,863,515","198,407",389,441
43,Coincheck,Centralized,7,"$136,645,846","$136,645,846","1,046,000",1,1
44,Coinone,Centralized,7,"$114,687,352","$114,687,352","1,025,000",129,138
45,BtcTurk-PRO,Centralized,7,"$112,894,506","$112,894,506","360,627",14,39
46,Bitbank,Centralized,7,"$106,527,645","$106,527,645","827,909",7,13
47,Paribu,Centralized,7,"$95,830,032","$95,830,032","1,346,000",22,22
48,Nominex,Centralized,7,"$43,751,789","$43,751,789","341,071",20,64
49,Zaif,Centralized,7,"$40,194,032","$40,194,032","1,813,000",9,24
50,OKCoin,Centralized,7,"$32,841,609","$32,841,609","40,731",21,29
51,Coindeal,Centralized,7,"$31,921,675","$31,921,675","60,254",31,39
52,EXMO,Centralized,7,"$30,108,755","$30,108,755","1,428,883",55,198
