Position,Exchange Name,Type,Trust Score,24h volume (normalized),24h volume,Website visits,# Coins,# Pairs
1,Binance,Centralized,10,"$1,955,962,120","$2,756,321,109","38,030,000",226,774
2,Coinbase-Pro,Centralized,10,"$337,873,834","$337,873,834","7,253,000",35,93
3,KuCoin,Centralized,10,"$111,432,328","$111,432,328","3,120,000",232,482
4,Kraken,Centralized,10,"$96,991,378","$96,991,378","4,469,000",43,196
5,Gate.io,Centralized,10,"$66,604,548","$75,811,567","1,295,000",305,554
6,Binance-US,Centralized,10,"$22,580,747","$22,580,747","740,106",48,99
7,OKEx,Centralized,9,"$357,736,649","$1,276,602,438","6,975,000",193,459
8,WhiteBIT,Centralized,9,"$143,145,948","$198,002,748","2,791,000",79,184
9,Bitfinex,Centralized,9,"$88,057,967","$88,057,967","2,956,000",143,286
10,Bitstamp,Centralized,9,"$57,192,120","$57,192,120","2,384,000",7,29
11,Bittrex,Centralized,9,"$39,632,609","$39,632,609","960,125",308,535
12,Poloniex,Centralized,9,"$26,600,530","$26,600,530","2,253,000",152,256
13,Max-Maicoin,Centralized,9,"$2,418,442","$2,418,442","206,108",9,18
14,BitoPro,Centralized,9,"$1,424,457","$1,424,457","155,242",14,25
15,OKEx-Korea,Centralized,9,"$722,397","$980,566","14,085",61,110
16,Huobi-Global,Centralized,8,"$241,717,830","$1,474,658,371","4,699,748",279,728
17,Bithumb,Centralized,8,"$125,073,180","$125,073,180","5,650,000",111,111
18,ZB,Centralized,8,"$121,204,017","$121,204,017","4,764,794",94,171
19,BitMax,Centralized,8,"$113,114,529","$117,221,435","2,199,299",129,203
20,Coinsbit,Centralized,8,"$108,526,272","$141,237,619","2,116,000",95,254
21,Liquid,Centralized,8,"$41,969,557","$113,571,988","816,019",64,145
22,bitFlyer,Centralized,8,"$36,917,285","$36,917,285","1,024,000",3,6
23,P2PB2B,Centralized,8,"$27,461,338","$29,981,986","533,934",151,344
24,Bithumb-Global,Centralized,8,"$26,945,340","$40,940,110","525,369",180,262
25,BtcTurk-PRO,Centralized,8,"$25,620,690","$25,620,690","610,236",12,33
26,EXMO,Centralized,8,"$14,188,421","$14,188,421","2,086,215",50,188
27,Tokenize,Centralized,8,"$13,628,440","$13,628,440","308,831",15,47
28,Gemini,Centralized,8,"$10,305,304","$10,305,304","348,717",12,28
29,Zaif,Centralized,8,"$9,345,941","$9,345,941","2,333,000",9,20
30,Indodax,Centralized,8,"$6,734,626","$6,734,626","3,803,000",91,94
31,Bitkub,Centralized,8,"$4,488,459","$4,488,459","1,158,000",31,35
32,BTCMarkets,Centralized,8,"$4,304,243","$4,304,243","987,461",14,18
